,SectorStat,Name,Commune
0,21014A05-,HOUWAERT,Saint-Josse-ten-Noode
1,21014A05-,HOUWAERT,Saint-Josse-ten-Noode
2,21014A05-,HOUWAERT,Saint-Josse-ten-Noode
3,21014A05-,HOUWAERT,Saint-Josse-ten-Noode
4,21014A05-,HOUWAERT,Saint-Josse-ten-Noode
5,21014A05-,HOUWAERT,Saint-Josse-ten-Noode
6,21014A05-,HOUWAERT,Saint-Josse-ten-Noode
7,21014A05-,HOUWAERT,Saint-Josse-ten-Noode
8,21014A05-,HOUWAERT,Saint-Josse-ten-Noode
9,21004C642,AVENUE FRANKLIN ROOSEVELT,Bruxelles
10,21013A01-,ESPAGNE (RUE D'),Saint-Gilles
11,21013A01-,ESPAGNE (RUE D'),Saint-Gilles
12,21013A01-,ESPAGNE (RUE D'),Saint-Gilles
13,21013A01-,ESPAGNE (RUE D'),Saint-Gilles
14,21013A01-,ESPAGNE (RUE D'),Saint-Gilles
15,21013A01-,ESPAGNE (RUE D'),Saint-Gilles
16,21018A37-,COMMUNAUTES,Woluwe Saint-Lambert
17,21005A01-,SAINTE-GERTRUDE,Etterbeek
18,21015A13-,PORTAELS (RUE),Schaerbeek
19,21015A13-,PORTAELS (RUE),Schaerbeek
20,21004E8NJ,HOPITAL BRUGMANN,Bruxelles
21,21009A501,LUXEMBOURG (PLACE DE),Ixelles
22,21009A501,LUXEMBOURG (PLACE DE),Ixelles
23,21007A70-,ALTITUDE  CENT,Forest
24,21015A77-,R.T.B.,Schaerbeek
25,21004A3MJ,CITE ADMINISTRATIVE ET CONGRES,Bruxelles
26,21001B25-,REVISION-NORD,Anderlecht
27,21007A101,BOURGOGNE,Forest
28,21004A03-,BON SECOURS - PALAIS DU MIDI,Bruxelles
29,21004A03-,BON SECOURS - PALAIS DU MIDI,Bruxelles
30,21004A03-,BON SECOURS - PALAIS DU MIDI,Bruxelles
31,21004A03-,BON SECOURS - PALAIS DU MIDI,Bruxelles
32,21009A03-,ERMITAGE,Ixelles
33,21010A01-,ESSEGHEM,Jette
34,21012A71-,PIERS,Molenbeek Saint-Jean
35,21015A421,PALAIS (RUE DE),Schaerbeek
36,21015A421,PALAIS (RUE DE),Schaerbeek
37,21016A933,VOSSEGAT-OUEST,Uccle
38,21018A19-,STRUYCKBEKEN,Woluwe Saint-Lambert
39,21004A32-,CONGRES - GARE,Bruxelles
40,21001C522,HOPITAL U.L.B.,Anderlecht
41,21001C522,HOPITAL U.L.B.,Anderlecht
42,21001C522,HOPITAL U.L.B.,Anderlecht
43,21009A602,BELVEDERE,Ixelles
44,21004A72-,SAINT-THOMAS (INSTITUT),Bruxelles
45,21001A3MJ,CERIA I,Anderlecht
46,21001A3MJ,CERIA I,Anderlecht
47,21001A3MJ,CERIA I,Anderlecht
48,21001A3MJ,CERIA I,Anderlecht
49,21005A00-,HOTEL COMMUNAL,Etterbeek
50,21004A22-,SENNE (RUE DE LA),Bruxelles
51,21004A22-,SENNE (RUE DE LA),Bruxelles
52,21009A00-,CENTRE,Ixelles
53,21004C552,LOUISE (AVENUE)-SUD,Bruxelles
54,21004C501,LOUISE (AVENUE)-NORD,Bruxelles
55,21005A12-,SAINT-ANTOINE,Etterbeek
56,21015A05-,ROYALE SAINTE-MARIE (RUE),Schaerbeek
57,21018A87-,SAINT-LUC,Woluwe Saint-Lambert
58,21018A87-,SAINT-LUC,Woluwe Saint-Lambert
59,21018A87-,SAINT-LUC,Woluwe Saint-Lambert
60,21018A87-,SAINT-LUC,Woluwe Saint-Lambert
61,21018A87-,SAINT-LUC,Woluwe Saint-Lambert
62,21018A87-,SAINT-LUC,Woluwe Saint-Lambert
63,21018A87-,SAINT-LUC,Woluwe Saint-Lambert
64,21018A87-,SAINT-LUC,Woluwe Saint-Lambert
65,21016A841,ZEECRABBE,Uccle
66,21009A41-,SAINT-GEORGES,Ixelles
67,21009A41-,SAINT-GEORGES,Ixelles
68,21001A051,LINDE-EST,Anderlecht
69,21004A13-,PETIT SABLON,Bruxelles
70,21004A13-,PETIT SABLON,Bruxelles
71,21006A12-,GERMINAL I,Evere
72,21009A041,ARBRE BENIT,Ixelles
73,21010A00-,CENTRE,Jette
74,21009A44-,PREVOT,Ixelles
75,21009A44-,PREVOT,Ixelles
76,21009A2MJ,CAMPUS UNIVERSITAIRE,Ixelles
77,21016A81-,BASCULE,Uccle
78,21013A04-,PRISON,Saint-Gilles
79,21004A01-,VIEILLE HALLE AUX BLES,Bruxelles
80,21019A52-,DUC (RUE),Woluwe Saint-Pierre
81,21019A21-,MANOIR,Woluwe Saint-Pierre
82,21004A33-,LIBERTE (PLACE DE LA),Bruxelles
83,21002A12-,AVENUE SCHALLER,Auderghem
84,21004C54-,LOUISE (AVENUE)-SUD-EST,Bruxelles
85,21009A542,EGLISE ANGLICANE,Ixelles
86,21018A00-,TOMBERG,Woluwe Saint-Lambert
87,21019A42-,SALOME AVENUE,Woluwe Saint-Pierre
88,21004C61-,U.L.B.,Bruxelles
89,21004A02-,SAINT-FRANCOIS XAVIER,Bruxelles
90,21004A21-,ANNEESSENS (PLACE),Bruxelles
91,21016A71-,KEIENBEMPT,Uccle
