SectorStatID,Quartier,Places Mat ss,SectorStatID2
21003A312,Potaarde,86.0,21003A312
21003A04-,Potaarde,14.0,21003A04-
21003A02-,Berchem Sainte-Agathe Centre,53.0,21003A02-
21003A00-,Berchem Sainte-Agathe Centre,61.0,21003A00-
21011A01-,Koekelberg,122.0,21011A01-
21016A901,Globe,1.0,21016A901
21016A82-,Churchill,46.0,21016A82-
21016A232,Montjoie - Langeveld,42.0,21016A232
21016A831,Montjoie - Langeveld,151.0,21016A831
21016A03-,Globe,26.0,21016A03-
21016A02-,Globe,78.0,21016A02-
21016A933,Vossegat - Roosendaal,32.0,21016A933
21016A701,Kalevoet - Moensberg,76.0,21016A701
21016A71-,Kalevoet - Moensberg,23.0,21016A71-
21016A80-,Churchill,2.0,21016A80-
21016A64-,Kalevoet - Moensberg,50.0,21016A64-
21016A05-,Molière - Longchamp,19.0,21016A05-
21016A943,Altitude 100,17.0,21016A943
21016A65-,Kalevoet - Moensberg,5.0,21016A65-
21016A620,Kriekenput - Homborch - Verrewinkel,10.0,21016A620
21016A01-,Dieweg,62.0,21016A01-
21016A00-,Globe,70.0,21016A00-
21016A102,Observatoire,47.0,21016A102
21016A12-,Observatoire,43.0,21016A12-
21016A44-,Dieweg,17.0,21016A44-
21016A322,Fort Jaco,30.0,21016A322
21016A400,Saint-Job Kauwberg,89.0,21016A400
21016A429,Saint-Job Kauwberg,14.0,21016A429
21016A639,Kriekenput - Homborch - Verrewinkel,145.0,21016A639
21016A342,Vivier d'Oie,363.0,21016A342
21016A311,Fort Jaco,91.0,21016A311
21017A11-,Trois Tilleuls,56.0,21017A11-
21017A230,Boitsfort Centre,18.0,21017A230
21017A41-,Boondael,26.0,21017A41-
21017A01-,Boitsfort Centre,8.0,21017A01-
21017A12-,Trois Tilleuls,73.0,21017A12-
21018A20-,Georges Henri,55.0,21018A20-
21018A72-,Porte Tervueren,116.0,21018A72-
21018A21-,Georges Henri,11.0,21018A21-
21018A62-,Georges Henri,45.0,21018A62-
21018A12-,Stockel,79.0,21018A12-
21018A83-,Kapelleveld,1.0,21018A83-
21018A3MJ,Val d'Or,55.0,21018A3MJ
21019A231,Boulevard de la Woluwe,14.0,21019A231
21019A252,Saint-Paul,5.0,21019A252
21019A131,Stockel,160.0,21019A131
21019A51-,Saint-Michel,146.0,21019A51-
21019A001,Boulevard de la Woluwe,50.0,21019A001
21019A34-,Chant d'Oiseau,14.0,21019A34-
21019A30-,Chant d'Oiseau,11.0,21019A30-
21019A33-,Chant d'Oiseau,48.0,21019A33-
21019A11-,Stockel,47.0,21019A11-
21019A31-,Chant d'Oiseau,3.0,21019A31-
21019A32-,Chant d'Oiseau,129.0,21019A32-
21019A35-,Chant d'Oiseau,6.0,21019A35-
21019A20-,Saint-Paul,23.0,21019A20-
21019A14-,Stockel,149.0,21019A14-
21019A10-,Stockel,217.0,21019A10-
21019A21-,Saint-Paul,28.0,21019A21-
21019A15-,Kapelleveld,135.0,21019A15-
