Quartiers,Capacité d’accueil scolaire du quartier (nb d'élèves)
Veeweyde - Aurore,437.32
Bizet - Roue- Ceria,572.46
Moortebeek - Peterbos,633.6
Scherdemael,943.1999999999999
Scheut,688.2
Bon Air,48.16
Vogelenzang - Erasme,210.21
Neerpede,234.0
Cureghem Bara,343.23
Cureghem Vétérinaire,472.59000000000003
Anderlecht - Centre - Wayez,599.61
Buffon,278.34999999999997
Cureghem Rosée,310.31
Machtens,1083.81
Industrie Birmingham,0.0
Chaussée de Wavre - Saint-Julien,596.13
Watermael Centre,355.95
Chant d'Oiseau,658.52
Transvaal,283.04
Putdael,0.0
Auderghem centre,132.66
Trois Tilleuls,430.56
Potaarde,244.53
Berchem Sainte-Agathe Centre,738.0
Korenbeek,91.96
Hôpital Français,440.2
Squares,932.59
Mutsaard,530.64
Boondael,471.90000000000003
Fort Jaco,264.42
Haren,216.54999999999998
Heembeek,1224.0
Quartier Européen,0.0
Porte Tervueren,1255.84
Béguinage - Dixmude,227.70000000000002
Dansaert,434.92
Martyrs,256.88
Industrie OTAN,0.0
Etangs d'Ixelles,173.91
Dries,102.89999999999999
Industrie Nord,0.0
Stalingrad,72.05000000000001
Marolles,857.5
Grand Place,173.94
Anneessens,580.0
Sablon,0.0
Châtelain,246.21
Louise - Longue Haie,121.26
Notre-Dame-aux-Neiges,80.50999999999999
Brugmann - Lepoutre,435.21999999999997
Vieux Laeken Est,1045.44
Vieux Laeken Ouest,416.24
Heysel,723.1800000000001
Houba,663.04
Quartier Nord,656.8000000000001
Quartier Maritime,495.35999999999996
Chasse,569.52
Saint-Pierre,541.08
Saint-Michel,787.76
Jourdan,113.74999999999999
Avenue Léopold III,240.5
Conscience,394.25
Paix,631.3000000000001
Paduwa,518.4000000000001
Saint-Denis - Neerstalle,163.68
Vossegat - Roosendaal,374.48
Altitude 100,657.28
Bas Forest,210.56000000000003
Van Volxem - Van Haelen,327.6
Parc Duden - Parc de Forest,0.0
Industrie Sud,0.0
Flagey - Malibran,412.16
Hôpital Etterbeek-Ixelles,260.52
Université,169.85
Matonge,69.69
Woeste,1319.3100000000002
Jette Centre,192.64
Heymbosch - AZ-Jette,356.04
Basilique,253.76000000000002
Koekelberg,580.1600000000001
Karreveld,836.34
Gare de l'ouest,73.06
Molenbeek Historique,845.37
Duchesse,644.1899999999999
Porte de Hal,506.87
Bosnie,0.0
Haut Saint-Gilles,955.86
Berckmans - Hôtel des Monnaies,279.65
Saint-Josse Centre,566.8000000000001
Quartier Brabant,436.88
Chaussée de Haecht,1054.34
Plasky,201.5
Reyers,0.0
Gare Josaphat,374.5
Dailly,487.79999999999995
Josaphat,239.26999999999998
Terdelt,774.1800000000001
Colignon,977.06
Georges Henri,737.5300000000001
Gare de Schaerbeek,35.2
Helmet,960.4899999999999
Globe,696.78
Churchill,258.48
Montjoie - Langeveld,370.01
Observatoire,281.99
Kalevoet - Moensberg,632.06
Molière - Longchamp,81.0
Kriekenput - Homborch - Verrewinkel,390.32
Dieweg,210.21
Saint-Job Kauwberg,292.95
Vivier d'Oie,415.71
Boitsfort Centre,234.36
Val d'Or,430.14000000000004
Gribaumont,0.0
Roodebeek - Constellations,696.9
Kapelleveld,554.3199999999999
Boulevard de la Woluwe,467.36
Stockel,1013.0999999999999
Saint-Paul,329.82
Sainte-Alix - Joli Bois,0.0
