Code;Territoire;Part des enfants du territoire (quartier ou commune) inscrits dans une école primaire située en dehors de la Région (%)
1;Grand Place;5,74
2;Dansaert;1,35
3;Béguinage - Dixmude;2,07
4;Martyrs;4,17
5;Notre-Dame-aux-Neiges;0,00
6;Quartier Royal;0,00
7;Sablon;2,63
8;Marolles;1,95
9;Stalingrad;1,02
10;Anneessens;0,75
11;Cureghem Bara;2,87
12;Cureghem Vétérinaire;2,18
13;Cureghem Rosée;0,70
14;Duchesse;2,47
15;Gare de l'ouest;2,13
16;Molenbeek Historique;1,96
17;Koekelberg;2,54
18;Quartier Maritime;1,51
19;Vieux Laeken Ouest;1,37
20;Vieux Laeken Est;2,76
21;Quartier Nord;1,43
22;Quartier Brabant;2,95
23;Colignon;2,62
24;Chaussée de Haecht;1,85
25;Saint-Josse Centre;0,89
26;Dailly;1,67
27;Josaphat;0,58
28;Plasky;2,57
29;Squares;3,11
30;Porte Tervueren;0,47
31;Saint-Michel;3,19
32;Saint-Pierre;1,25
33;Chasse;0,75
34;Jourdan;3,32
35;Quartier Européen;1,79
36;Matonge;0,87
37;Flagey - Malibran;1,56
38;Hôpital Etterbeek-Ixelles;1,23
39;Etangs d'Ixelles;2,94
40;Louise - Longue Haie;2,40
41;Berckmans - Hôtel des Monnaies;1,70
42;Châtelain;1,68
43;Brugmann - Lepoutre;1,46
44;Churchill;1,34
45;Molière - Longchamp;1,36
46;Altitude 100;0,93
47;Haut Saint-Gilles;0,78
48;Porte de Hal;1,23
49;Bosnie;1,14
50;Bas Forest;1,09
51;Van Volxem - Van Haelen;1,39
52;Veeweyde - Aurore;2,60
53;Bizet - Roue- Ceria;3,25
54;Vogelenzang - Erasme;6,49
55;Neerpede;13,04
56;Bon Air;6,63
57;Scherdemael;4,04
58;Anderlecht - Centre - Wayez;3,00
59;Scheut;3,69
60;Buffon;3,06
61;Moortebeek - Peterbos;5,78
62;Machtens;3,74
63;Karreveld;2,43
64;Hôpital Français;1,69
65;Korenbeek;2,02
66;Potaarde;7,12
67;Berchem Sainte-Agathe Centre;4,34
68;Villas de Ganshoren;2,57
69;Ganshoren Centre;1,94
70;Basilique;3,22
71;Woeste;1,80
72;Jette Centre;2,46
73;Heymbosch - AZ-Jette;2,25
74;Heysel;3,96
75;Houba;3,39
76;Mutsaard;5,72
77;Heembeek;2,25
78;Haren;5,86
79;Paix;1,87
80;Helmet;2,40
81;Gare de Schaerbeek;2,18
82;Terdelt;1,53
83;Conscience;1,44
84;Avenue Léopold III;1,38
85;Gare Josaphat;1,31
86;Paduwa;3,58
87;Reyers;1,86
88;Georges Henri;2,06
89;Gribaumont;1,91
90;Roodebeek - Constellations;1,72
91;Val d'Or;1,54
92;Kapelleveld;2,77
93;Boulevard de la Woluwe;0,25
94;Stockel;2,87
95;Sainte-Alix - Joli Bois;1,79
96;Saint-Paul;2,41
97;Putdael;8,16
98;Auderghem centre;1,34
99;Chant d'Oiseau;1,80
100;Chaussée de Wavre - Saint-Julien;1,90
101;Trois Tilleuls;2,35
102;Transvaal;2,24
103;Boitsfort Centre;1,24
104;Watermael Centre;1,90
105;Dries;0,72
106;Boondael;1,73
107;Université;0,00
108;Montjoie - Langeveld;3,51
109;Observatoire;1,05
110;Fort Jaco;2,68
111;Vivier d'Oie;6,92
112;Kriekenput - Homborch - Verrewinkel;5,87
113;Saint-Job Kauwberg;2,77
114;Dieweg;3,97
115;Kalevoet - Moensberg;3,77
116;Globe;1,06
117;Vossegat - Roosendaal;0,97
118;Saint-Denis - Neerstalle;0,85
701;Cimetière d'Ixelles;0,00
702;Cimetière de Saint-Gilles;0,00
800;Industrie Nord;0,00
801;Industrie OTAN;0,00
802;Delta;0,00
803;Industrie Sud;0,00
804;Gare du Midi;0,00
805;Industrie Birmingham;0,00
900;Domaine Royal Laeken;0,00
901;Parc Josaphat;0,00
902;Botanique;0,00
903;Cinquantenaire;0,00
904;Parc Léopold;0,00
905;Parc de la Woluwe;0,00
906;Forêt de Soignes;0,00
907;Bois de la Cambre;0,00
908;Parc Wolvendael;0,00
909;Parc Duden - Parc de Forest;0,00
910;Parc des Etangs;0,00
911;Parc Astrid;0,00
912;Parc Forestier;0,00
913;Parc Marie-José;0,00
914;Scheutbos;0,00
915;Parc Elisabeth;0,00
916;Bois du Laarbeek - Poelbos;0,00
917;Parc Baudouin - Dielegembos;0,00
