,position,status
0,21007A814,busy
1,21001B321,busy
2,21007A00-,busy
3,21001A32-,busy
4,21018A34-,busy
5,21012A72-,busy
6,21006A03-,busy
7,21007A73-,busy
8,21008A34-,busy
9,21017A512,busy
10,21001A95-,busy
11,21015A73-,busy
12,21015A05-,busy
13,21003A38-,busy
14,21015A71-,busy
15,21012A02-,busy
16,21004E74-,busy
17,21007A541,busy
18,21004F970,busy
19,21018A22-,busy
20,21001A112,busy
21,21002A492,busy
22,21015A421,busy
23,21018A61-,busy
24,21012A02-,busy
25,21001B21-,busy
26,21011A00-,busy
27,21006A101,busy
28,21004B2NJ,busy
29,21001A37-,busy
30,21001C5MA,busy
31,21009A192,busy
32,21012A60-,busy
33,21011A02-,busy
34,21001B332,busy
35,21015A44-,busy
36,21017A323,busy
37,21017A312,busy
38,21018A35-,busy
39,21013A00-,busy
40,21001A142,busy
41,21004E82-,busy
42,21003A0AJ,busy
43,21006A11-,busy
44,21007A75-,busy
45,21016A610,busy
46,21019A34-,busy
47,21018A87-,busy
48,21008A29-,busy
49,21010A092,free
50,21012A24-,free
51,21001A472,free
52,21019A492,free
